;PC;F-HSIC;F-LSMI;L_1-HSIC;L_1-LSMI;mRMR;QPFS;Lasso;Relief
abalone;0.71 (.04, 50);0.72 (.04, 50);0.69 (.04, 50);0.72 (.04, 50);0.69 (.04, 50);0.71 (.05, 50);0.73 (.04, 50);0.68 (.04, 50);*0.68 (.04, 50)
breastcancer;0.25 (.01, 50);0.25 (.01, 50);0.25 (.01, 50);*0.24 (.01, 50);*0.24 (.01, 50);0.25 (.01, 50);0.25 (.01, 50);0.25 (.01, 50);0.26 (.01, 50)
cpuact;0.26 (.04, 50);0.32 (.11, 50);0.28 (.05, 50);0.52 (.29, 50);*0.24 (.15, 50);*0.23 (.05, 50);0.27 (.04, 50);0.26 (.04, 50);0.37 (.09, 50)
ctslices;0.77 (.05, 34);--;--;0.63 (.05, 50);0.59 (.06, 50);0.45 (.04, 50);0.45 (.03, 50);*0.40 (.03, 50);0.55 (.04, 50)
german;0.26 (.02, 50);0.29 (.01, 50);0.29 (.01, 50);0.26 (.02, 50);*0.25 (.02, 50);0.26 (.02, 50);0.26 (.02, 50);0.26 (.02, 50);0.27 (.02, 50)
glass;0.31 (.01, 50);*0.30 (.01, 50);0.33 (.02, 50);*0.31 (.03, 50);0.31 (.02, 50);0.31 (.02, 50);0.31 (.01, 50);--;0.33 (.01, 50)
housing;3.80 (.18, 50);3.96 (.20, 50);4.08 (.25, 50);3.69 (.18, 50);*3.65 (.19, 50);3.77 (.23, 50);4.02 (.21, 50);4.03 (.30, 50);4.04 (.22, 50)
image;0.11 (.02, 50);0.20 (.03, 50);0.17 (.03, 50);0.15 (.04, 50);*0.07 (.02, 50);0.14 (.02, 50);0.12 (.02, 50);0.12 (.02, 50);*0.07 (.01, 50)
ionosphere;0.10 (.01, 50);*0.08 (.01, 50);0.09 (.01, 50);0.09 (.01, 50);0.09 (.01, 50);0.11 (.00, 50);0.09 (.01, 50);0.10 (.01, 50);0.10 (.01, 50)
isolet;0.61 (.04, 50);0.68 (.04, 12);0.61 (.05, 10);0.41 (.04, 50);*0.32 (.03, 50);0.36 (.02, 50);0.38 (.03, 50);--;0.55 (.03, 50)
msd;0.92 (.05, 50);0.91 (.05, 50);*0.89 (.06, 50);0.91 (.05, 50);0.92 (.05, 50);0.95 (.06, 50);0.91 (.05, 50);*0.89 (.06, 50);0.94 (.05, 50)
musk1;0.21 (.02, 50);0.19 (.02, 50);0.16 (.02, 50);0.19 (.02, 50);0.18 (.02, 50);0.17 (.02, 50);0.19 (.02, 50);*0.15 (.02, 50);0.22 (.02, 50)
musk2;0.10 (.01, 50);0.09 (.01, 50);*0.08 (.01, 50);0.09 (.01, 50);0.09 (.01, 50);0.10 (.01, 50);0.10 (.01, 50);0.09 (.01, 50);0.09 (.02, 50)
satimage;0.29 (.04, 50);0.15 (.02, 50);*0.14 (.01, 50);0.16 (.02, 50);*0.14 (.02, 50);0.15 (.02, 50);0.16 (.02, 50);--;0.19 (.02, 50)
segment;0.22 (.02, 50);0.27 (.03, 50);0.18 (.03, 50);0.13 (.04, 50);*0.08 (.02, 50);*0.07 (.01, 50);0.10 (.04, 50);--;0.17 (.03, 50)
senseval2;*0.20 (.02, 50);*0.20 (.02, 50);*0.20 (.02, 50);0.21 (.02, 50);*0.20 (.02, 50);0.21 (.02, 50);*0.20 (.02, 50);--;0.23 (.02, 50)
sonar;0.24 (.01, 50);0.20 (.01, 50);*0.15 (.02, 50);0.22 (.02, 50);0.16 (.02, 50);0.18 (.01, 50);0.20 (.01, 50);0.17 (.01, 50);0.20 (.01, 50)
spectf;0.19 (.01, 50);0.19 (.01, 50);0.18 (.01, 50);0.20 (.02, 50);0.18 (.01, 50);*0.18 (.01, 50);*0.18 (.01, 50);0.18 (.01, 50);0.19 (.01, 50)
speech;0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);*0.01 (.00, 50);0.02 (.00, 50)
vehicle;0.37 (.02, 50);0.38 (.04, 50);0.32 (.02, 50);0.41 (.04, 50);*0.31 (.02, 50);0.44 (.04, 50);0.44 (.04, 50);--;0.40 (.03, 50)
vowel;*0.21 (.02, 50);0.24 (.02, 50);0.25 (.03, 50);0.21 (.02, 50);0.21 (.02, 50);*0.21 (.02, 50);0.21 (.02, 50);--;0.21 (.02, 50)
wine;0.04 (.01, 50);0.04 (.00, 50);*0.03 (.01, 50);0.03 (.01, 50);*0.03 (.01, 50);0.04 (.01, 50);0.03 (.00, 50);--;0.04 (.00, 50)
Wins;72;74;97;85;131;96;95;80;55
Tops;2;3;6;2;11;4;2;4;2
knn_gaussreg_err;;;;;;;;;