;fohsic;folsmi;lasso;mrmr;pc;pghsic;pglsmi;qpfs;relief
abalone;10.11 (2.3, 50);37.58 (11.5, 50);2.68 (0.8, 50);*0.04 (0.0, 50);0.05 (0.0, 50);35.26 (8.1, 50);82.02 (16.9, 50);1.29 (0.2, 50);0.40 (0.1, 50)
breastcancer;5.63 (1.5, 50);52.73 (20.5, 50);1.36 (0.6, 50);*0.04 (0.0, 50);0.06 (0.0, 50);19.64 (3.2, 50);79.88 (16.3, 50);1.23 (0.3, 50);0.90 (0.1, 50)
cpuact;27.68 (6.0, 50);111.00 (41.1, 50);2.04 (0.7, 50);*0.05 (0.0, 50);0.06 (0.0, 50);39.70 (8.7, 50);87.73 (15.8, 50);1.33 (0.2, 50);0.70 (0.0, 50)
german;15.19 (3.8, 50);131.38 (44.2, 50);1.48 (0.8, 50);*0.05 (0.0, 50);0.06 (0.0, 50);58.27 (19.8, 50);109.96 (19.5, 50);1.30 (0.2, 50);2.05 (0.3, 50)
glass;5.03 (1.0, 50);43.63 (19.2, 50);--;*0.03 (0.0, 50);0.08 (0.0, 50);11.94 (2.6, 50);76.21 (18.6, 50);1.35 (0.2, 50);1.55 (0.3, 50)
housing;17.48 (4.2, 50);69.45 (25.1, 50);1.80 (0.6, 50);*0.05 (0.0, 50);0.06 (0.0, 50);42.28 (6.2, 50);143.06 (22.4, 50);1.32 (0.3, 50);0.61 (0.1, 50)
image;15.19 (2.5, 50);97.55 (33.1, 50);9.43 (2.4, 50);*0.05 (0.0, 50);0.06 (0.0, 50);62.32 (22.4, 50);99.39 (19.8, 50);1.36 (0.3, 50);1.93 (0.2, 50)
ionosphere;23.07 (5.9, 50);177.80 (68.7, 50);1.66 (0.5, 50);*0.06 (0.0, 50);0.06 (0.0, 50);32.15 (4.7, 50);95.87 (16.8, 50);1.32 (0.2, 50);2.67 (0.4, 50)
isolet;2701.97 (304.2, 12);14822.04 (1770.3, 10);--;*2.26 (0.4, 50);7.07 (0.7, 50);434.72 (32.4, 50);475.79 (38.0, 50);18.10 (2.3, 50);364.18 (31.8, 50)
msd;300.32 (51.9, 50);990.87 (196.0, 50);40.53 (19.8, 50);0.17 (0.0, 50);*0.11 (0.1, 50);165.32 (52.5, 50);126.94 (25.7, 50);3.79 (0.8, 50);1.59 (0.3, 50)
musk1;722.93 (101.9, 50);3442.50 (542.1, 50);1248.52 (273.2, 50);0.52 (0.1, 50);*0.12 (0.0, 50);267.62 (27.9, 50);255.13 (32.5, 50);5.16 (1.0, 50);11.38 (1.9, 50)
musk2;683.09 (114.7, 50);3372.16 (541.9, 50);857.87 (264.7, 50);0.54 (0.1, 50);*0.14 (0.1, 50);214.03 (42.4, 50);326.94 (57.6, 50);5.30 (1.1, 50);11.69 (1.3, 50)
satimage;67.25 (15.2, 50);381.62 (111.9, 50);--;*0.09 (0.0, 50);0.15 (0.0, 50);82.87 (14.1, 50);191.37 (31.5, 50);2.28 (0.9, 50);7.12 (0.9, 50)
segment;14.78 (2.7, 50);93.89 (35.1, 50);--;*0.05 (0.0, 50);0.11 (0.0, 50);30.81 (5.7, 50);80.99 (14.2, 50);1.43 (0.2, 50);5.25 (0.7, 50)
senseval2;92.82 (14.6, 50);517.74 (133.9, 50);--;*0.11 (0.0, 50);0.12 (0.0, 50);194.13 (29.7, 50);216.62 (32.2, 50);1.42 (0.2, 50);5.15 (0.9, 50)
sonar;53.71 (12.6, 50);633.54 (164.2, 50);4.47 (1.0, 50);0.11 (0.0, 50);*0.08 (0.0, 50);36.79 (5.2, 50);166.99 (29.1, 50);3.57 (0.7, 50);2.52 (0.4, 50)
spectf;53.08 (15.3, 50);435.05 (124.0, 50);2.25 (0.7, 50);0.09 (0.0, 50);*0.07 (0.0, 50);46.59 (4.9, 50);159.09 (25.7, 50);3.32 (0.6, 50);2.52 (0.4, 50)
speech;96.17 (22.4, 50);511.89 (131.3, 50);182.59 (65.3, 50);0.11 (0.0, 50);*0.07 (0.0, 50);198.18 (22.3, 50);170.55 (25.7, 50);3.24 (0.7, 50);3.97 (0.6, 50)
vehicle;16.43 (4.3, 50);81.39 (28.7, 50);--;*0.05 (0.0, 50);0.08 (0.0, 50);35.34 (5.9, 50);68.77 (14.7, 50);1.36 (0.2, 50);3.25 (0.4, 50)
vowel;12.63 (2.8, 50);68.32 (27.7, 50);--;*0.05 (0.0, 50);0.12 (0.0, 50);44.84 (8.5, 50);72.86 (16.0, 50);1.37 (0.2, 50);6.20 (0.8, 50)
wine;5.45 (1.2, 50);53.20 (20.4, 50);--;*0.03 (0.0, 50);0.07 (0.0, 50);13.93 (2.1, 50);59.35 (15.2, 50);1.36 (0.2, 50);1.06 (0.1, 50)
Wins;64;15;48;162;153;55;32;117;110
Tops;0;0;0;15;6;0;0;0;0
timecpu;;;;;;;;;