;mrmr;pc;pghsic;pglsmi;relief
BASEHOCK;0.09 (0.0, 20);0.11 (0.0, 20);*0.08 (0.0, 20);0.13 (0.0, 20);0.27 (0.1, 20)
CLL_SUB_111;0.13 (0.0, 20);*0.12 (0.0, 20);*0.11 (0.0, 20);0.14 (0.0, 20);0.23 (0.0, 20)
PCMAC;*0.15 (0.0, 20);0.17 (0.0, 20);*0.16 (0.0, 20);0.21 (0.1, 19);0.29 (0.1, 20)
SMK_CAN_187;*0.21 (0.0, 20);0.21 (0.0, 20);*0.22 (0.0, 20);0.24 (0.0, 19);0.26 (0.0, 20)
TOX_171;*0.19 (0.0, 20);0.32 (0.0, 20);0.25 (0.0, 20);0.21 (0.0, 20);0.29 (0.0, 20)
amazon;*0.63 (0.0, 20);0.69 (0.0, 20);0.67 (0.0, 19);0.96 (0.1, 20);0.73 (0.0, 20)
madelon;0.35 (0.0, 19);0.29 (0.0, 19);0.28 (0.0, 20);0.30 (0.0, 20);*0.18 (0.0, 20)
olivetti;*0.08 (0.0, 20);0.41 (0.0, 20);0.12 (0.0, 19);0.17 (0.1, 20);0.23 (0.0, 20)
usps;*0.29 (0.0, 20);0.41 (0.1, 20);0.36 (0.0, 19);*0.28 (0.0, 20);0.38 (0.0, 20)
warpPIE10P;*0.02 (0.0, 20);0.03 (0.0, 20);0.04 (0.0, 20);0.04 (0.0, 18);0.03 (0.0, 20)
Wins;31;16;26;15;10
Tops;7;1;4;1;1
svc_svr_err;;;;;